Benchmark, DL1_S ,Energy, Runtime
bzip, 128, 157.127603, 0.084084
hmmer, 128, 115.369172, 0.059309
libm, 128, 294.614908, 0.174772
mcf, 128, 121.040241, 0.065166
sjeng, 128, 833.041270, 0.513664
bzip, 16, 77.424942, 0.088595
hmmer, 16, 53.281168, 0.059681
libm, 16, 147.421276, 0.174782
mcf, 16, 59.909077, 0.067506
sjeng, 16, 424.861874, 0.513655
bzip, 32, 76.610228, 0.086884
hmmer, 32, 53.767736, 0.059567
libm, 32, 148.868102, 0.174775
mcf, 32, 58.651470, 0.065222
sjeng, 32, 428.816428, 0.513661
bzip, 64, 127.427582, 0.085526
hmmer, 64, 92.262480, 0.059396
libm, 64, 237.012853, 0.174772
mcf, 64, 97.074460, 0.065187
sjeng, 64, 670.463018, 0.513664
