Benchmark, DL1_S ,Energy, Runtime,EDP
bzip,128,157.127603,0.084084,13.21191737
hmmer,128,115.369172,0.059309,6.842430222
libm,128,294.614908,0.174772,51.4904367
mcf,128,121.040241,0.065166,7.887708345
sjeng,128,833.04127,0.513664,427.9033109
bzip,16,77.424942,0.088595,6.859462736
hmmer,16,53.281168,0.059681,3.179873387
libm,16,147.421276,0.174782,25.76658546
mcf,16,59.909077,0.067506,4.044222152
sjeng,16,424.861874,0.513655,218.2324259
bzip,32,76.610228,0.086884,6.65620305
hmmer,32,53.767736,0.059567,3.20278273
libm,32,148.868102,0.174775,26.01842253
mcf,32,58.65147,0.065222,3.825366176
sjeng,32,428.816428,0.513661,220.2662752
bzip,64,127.427582,0.085526,10.89837138
hmmer,64,92.26248,0.059396,5.480022262
libm,64,237.012853,0.174772,41.42321034
mcf,64,97.07446,0.065187,6.327992824
sjeng,64,670.463018,0.513664,344.3927157
