Benchmark, IL1_A ,Energy, Runtime,EDP
bzip,1,127.405524,0.085531,10.89712187
hmmer,1,100.485016,0.065852,6.617139274
libm,1,236.951985,0.174769,41.41186147
mcf,1,99.62271,0.067065,6.681197046
sjeng,1,670.280696,0.513653,344.2916903
bzip,16,143.746666,0.085516,12.29263989
hmmer,16,103.58985,0.059386,6.151786832
libm,16,271.105018,0.175298,47.52416745
mcf,16,98.942262,0.05801,5.739640619
sjeng,16,768.562255,0.513671,394.7881421
bzip,2,127.427582,0.085526,10.89837138
hmmer,2,92.26248,0.059396,5.480022262
libm,2,237.012853,0.174772,41.42321034
mcf,2,97.07446,0.065187,6.327992824
sjeng,2,670.463018,0.513664,344.3927157
bzip,4,134.200695,0.085522,11.47711184
hmmer,4,96.960085,0.059389,5.758362488
libm,4,251.522303,0.175298,44.09135667
mcf,4,92.45307,0.058003,5.362555419
sjeng,4,711.166379,0.51366,365.2977222
bzip,8,137.981024,0.085522,11.80041313
hmmer,8,99.57855,0.059385,5.913472192
libm,8,259.270475,0.175298,45.44959573
mcf,8,95.01686,0.058003,5.511262931
sjeng,8,733.884326,0.513671,376.9750956
