Benchmark, L2_A ,Energy, Runtime,EDP
bzip,16,127.367724,0.085456,10.88433622
hmmer,16,92.273171,0.059396,5.480657265
libm,16,237.067033,0.174772,41.43267949
mcf,16,97.090255,0.065185,6.328828272
sjeng,16,670.474673,0.513525,344.3055065
bzip,2,127.922921,0.085941,10.99382375
hmmer,2,92.258797,0.059396,5.479803507
libm,2,236.975976,0.174772,41.41676528
mcf,2,97.055181,0.065179,6.325959642
sjeng,2,670.321232,0.513651,344.3111711
bzip,32,127.369125,0.08543,10.88114435
hmmer,32,92.284219,0.059396,5.481313472
libm,32,237.140612,0.174772,41.44553904
mcf,32,97.109261,0.065181,6.329678741
sjeng,32,670.695277,0.513504,344.4047075
bzip,4,127.522002,0.08561,10.91715859
hmmer,4,92.259866,0.059396,5.479867001
libm,4,236.987511,0.174772,41.41878127
mcf,4,97.062571,0.065183,6.326829565
sjeng,4,670.356591,0.513647,344.3266519
bzip,8,127.427582,0.085526,10.89837138
hmmer,8,92.26248,0.059396,5.480022262
libm,8,237.012853,0.174772,41.42321034
mcf,8,97.07446,0.065187,6.327992824
sjeng,8,670.463018,0.513664,344.3927157
